id;name;gender;age;member1lastname;member1firstname;member1country;member2lastname;member2firstname;member2country;member3lastname;member3firstname;member3country;member4lastname;member4firstname;member4country;member5lastname;member5firstname;member5country;time;original_score;penalty;score;status
208;XIC I XAP;mixed;open;Castella Vancells;Dani;ESP;MARTINEZ ROA;BARBARA;ESP;;;;;;;;;;23:06:33;2290;0;2290;
176;Astur Extremix;mixed;open;López Suárez;Silvia;ESP;Santos Garc�a;Benedicto;ESP;;;;;;;;;;23:03:28;2270;0;2270;
104;ASTUR EXCENTRIC;men;open;Del Bustio Díaz;Andr�s;ESP;Jiménez Jiménez;Rodrigo;ESP;Tamargo Fernandez;Manuel;ESP;;;;;;;23:04:13;2270;0;2270;
206;Voshod(Vinnitsa);mixed;open;Hrelia;Bohdan;UKR;MYRONENKO;OLENA;UKR;;;;;;;;;;23:36:07;2240;0;2240;
196;raidaventura.org / Rochester Orienteering;mixed;open;Huber;Olga;USA;Najman;Jaroslav;ESP;;;;;;;;;;23:16:29;2230;0;2230;
308;GuN 2016;men;veteran;Lucans;Nikolajs;LAT;Pikurs;Guntis;LAT;;;;;;;;;;23:28:34;2220;0;2220;
160;Volga-Ural;men;open;Solovyev;Konstantin;RUS;Nikitin;Yuri;RUS;;;;;;;;;;23:33:20;2170;0;2170;
146;PA TEAM COBs - Bombers.cat;men;open;Batriu Sibila;Xavier;ESP;VILES BONET;LLE�;ESP;;;;;;;;;;23:10:23;2140;0;2140;
108;CATALANS DESORIENTATS;men;open;Dav� Recasens;Albert;ESP;Escolar Garcia;Marc;ESP;;;;;;;;;;23:48:18;2140;0;2140;
192;orienteering.waw.pl / inov-8;mixed;open;LAWNICZAK;Sabina;POL;Krasuski;Marcin;POL;;;;;;;;;;23:29:11;2110;0;2110;
337;Endurancelife;mixed;veteran;Scarf;Phil;GBR;Scarf;Jackie;GBR;;;;;;;;;;23:50:24;2100;0;2100;
120;FLUVIAL LUGO-FOZAMONTES;men;open;Corral Alonso;Alberto;ESP;Folgar Romay;Javier;ESP;GONZALéZ CASTRO;LEANDRO;ESP;;;;;;;21:59:08;2090;0;2090;
328;Kape;women;veteran;Kink;Jana;EST;Vanjuk;Merike;EST;;;;;;;;;;21:26:09;2060;0;2060;
421;L?v?ni;mixed;superveteran;Jurane;Gundega;LAT;Peisenieks;Varis;LAT;;;;;;;;;;23:39:25;2060;0;2060;
149;Priorat Montsant Siurana;men;open;Saladie Gil;Lluis;ESP;PELLISA SALATDÓ;ORIOL;ESP;;;;;;;;;;23:51:26;2040;0;2040;
416;BUKOVINA-1;mixed;superveteran;Bevzo;Valentyna;UKR;Lipka;Volodymyr;UKR;;;;;;;;;;23:58:21;2040;0;2040;
606;Kherson Ukraine;women;youth;Kobets;Yulia;UKR;Kravchuk;Yulia;UKR;;;;;;;;;;23:26:44;2030;0;2030;
170;RAIDERMANIA ELX - BICICOSTA;women;open;Suarez;Lidia Juan;ESP;Poveda Navarro;Ana Rosa;ESP;Viudes Mollá;Ester;ESP;;;;;;;23:40:02;2030;0;2030;
316;RAIDERMANIA ELX-HOSTAL EL ALTET;men;open;BONASTRE PIAZUELO;ISAAC;ESP;Motilla Cerdá;Héctor;ESP;Tarí Alonso;José Antonio;ESP;;;;;;;23:40:22;2010;0;2010;
312;MI-35;men;veteran;Aunin;Martin;EST;Saarepera;Indrek;EST;;;;;;;;;;23:56:10;1990;0;1990;
158;ukumelana;men;open;Castro Manzanares;Guillermo;ESP;Pérez;Diego;ESP;Aguilar;Cecilia;ESP;;;;;;;22:20:31;1970;0;1970;
320;TAKA;men;veteran;Ivans;Peteris;LAT;Visnevskis;Gatis;LAT;;;;;;;;;;23:37:05;1940;0;1940;
348;Mona V;mixed;veteran;Nagelis;Janis;LAT;Ozola;Baiba;LAT;;;;;;;;;;23:53:30;1940;0;1940;
116;Farra-O;men;open;Cobacho Rivera;Tito;ESP;Muné;Toni;ESP;;;;;;;;;;23:35:00;1930;0;1930;
601;Bukovina-3;men;youth;Kelia;Viacheslav;UKR;Kelia;Andriy;UKR;;;;;;;;;;23:40:36;1920;0;1920;
331;Y-TA;women;veteran;Davidova;Yulia;RUS;Sekhina;Tatiana;RUS;;;;;;;;;;23:04:50;1900;0;1900;
190;MSU SKI TEAM;mixed;open;Gromova;Mariia;RUS;Sorokin;Alexander;RUS;;;;;;;;;;23:46:43;1900;0;1900;
137;LV swamp surfing team;men;open;Bibers;Zigmunds;LAT;Ozolins;Raimonds;LAT;;;;;;;;;;23:47:13;1890;0;1890;
400;Asie pipari;men;superveteran;Kaulakans;Ilmars;LAT;Lacars;Harijs;LAT;;;;;;;;;;23:25:41;1880;0;1880;
183;Entrebalizas;mixed;open;alonso regidor;pablo;ESP;Llop Calvo;Carolina;ESP;;;;;;;;;;19:26:01;1860;0;1860;
162;www.rogainer.ru;men;open;Nikonov;Mikhail;RUS;Shmidt;Pavel;RUS;;;;;;;;;;23:41:23;1850;0;1850;
110;CLUB SEO;men;open;AMOR BOQUETE;JOSE MANUEL;ESP;MORLAN RODRIGUEZ;JOSE ANGEL;ESP;RODR�GUEZ QUEIJAS;JUAN CARLOS;ESP;;;;;;;23:41:08;1830;0;1830;
403;Lendorav;men;superveteran;Kaljur;Maido;EST;Preitof;Mati;EST;;;;;;;;;;23:58:02;1830;0;1830;
418;Elfi/Ventspils-Ligatne;mixed;superveteran;Abola;Alida;LAT;Caklis;Imants;LAT;;;;;;;;;;23:18:32;1790;0;1790;
111;COBI Deluxe;men;open;Castillo;Roberto;ESP;IPI?A MOJA;ASIER;ESP;Parrado Maquieira;Manuel;ESP;;;;;;;22:35:26;1770;0;1770;
424;Spordilinn;mixed;superveteran;Viirmann;Marje;EST;Pukkonen;Eduard;EST;;;;;;;;;;23:41:25;1760;0;1760;
167;Myxomor-Team;women;open;Cheberakha;Olha;UKR;Kolosar;Vira;UKR;;;;;;;;;;22:03:00;1740;0;1740;
132;La Nova Fita 2;men;open;Jiménez Aguilera;Jordi;ESP;Riba Soler;Marcel;ESP;;;;;;;;;;23:26:14;1740;0;1740;
200;Sopels Team;mixed;open;Ca?as benito;Eder;ESP;Legarra Garcia;Amagoia;ESP;;;;;;;;;;23:39:23;1740;0;1740;
